date,USD
20171010,4.2235
20171110,4.2155
20171210,4.2175
20171013,4.218
20171016,4.2185
20171017,4.223
20171019,4.226
20171020,4.224
20171023,4.2335
20171024,4.234
20171025,4.2335
20171026,4.233
20171027,4.2415
20171030,4.2385
20171031,4.2305
20170111,4.2335
20170211,4.2275
20170311,4.2325
20170611,4.24
20170711,4.2265
20170811,4.2285
20170911,4.2275
20171011,4.1935
20171113,4.188
20171114,4.1895
20171115,4.1825
20171116,4.1785
20171117,4.162
20171120,4.158
20171121,4.143
20171122,4.1245
20171123,4.1115
20171124,4.1195
20171127,4.117
20171128,4.1175
20171129,4.107
20171130,4.087
20170412,4.082
20170512,4.0525
20170612,4.067
20170712,4.0825
20170812,4.088
20171112,4.082
20171212,4.08
20171213,4.0755
20171214,4.079
20171215,4.089
20171218,4.087
20171219,4.074
20171220,4.074
20171221,4.077
20171222,4.0905
20171226,4.079
20171227,4.0835
20171228,4.077
20171229,4.062
20180201,4.0325
20180301,4.0255
20180401,4.02
20180501,3.9945
20180801,3.9875
20180901,4.0015
20181001,4.0085
20181101,3.9895
20181201,3.9705
20180115,3.9575
20180116,3.955
20180117,3.951
20180118,3.9605
20180119,3.9365
20180122,3.9415
20180123,3.927
20180124,3.9175
20180125,3.898
20180126,3.875
20180129,3.8695
20180130,3.8945
20180202,3.8885
20180502,3.8975
20180602,3.9135
20180702,3.9075
20180802,3.9255
20180902,3.9385
20181202,3.932
20180213,3.9335
20180214,3.9265
20180215,3.8945
20180219,3.888
20180220,3.8945
20180221,3.9085
20180222,3.9185
20180223,3.9055
20180226,3.913
20180227,3.9105
20180228,3.9255
20180103,3.9305
20180203,3.916
20180503,3.899
20180603,3.9045
20180703,3.903
20180803,3.9055
20180903,3.9145
20181203,3.9085
20180313,3.908
20180314,3.8965
20180315,3.9145
20180316,3.924
20180319,3.914
20180320,3.9155
20180321,3.9245
20180322,3.9095
20180323,3.913
20180326,3.9035
20180327,3.8755
20180328,3.858
20180329,3.868
20180330,3.862
20180204,3.864
20180304,3.8675
20180404,3.865
20180504,3.867
20180604,3.8715
20180904,3.863
20181004,3.8645
20181104,3.8705
20181204,3.8765
20180413,3.8795
20180416,3.8865
20180417,3.889
20180418,3.8915
20180419,3.8885
20180420,3.892
20180423,3.8985
20180424,3.9075
20180425,3.9085
20180426,3.9205
20180427,3.9195
20180430,3.9195
20180205,3.9265
20180305,3.9378
20180405,3.9345
20180705,3.9415
20180805,3.95
20180514,3.955
20180515,3.952
20180516,3.9645
20180517,3.968
20180518,3.977
20180521,3.976
20180522,3.9765
20180523,3.9755
20180524,3.987
20180525,3.9845
20180528,3.982
20180530,3.995
20180531,3.9765
20180106,3.9835
